House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
105,Wessex Drive,Mohammad,Donnelly,66,Husband,Married,Male,Chartered management accountant,None,Christian
105,Wessex Drive,Joyce,Donnelly,33,Daughter,Divorced,Female,"Engineer, site",None,Christian
106,Wessex Drive,Georgina,Leach,41,Head,Married,Female,Unemployed,None,Catholic
106,Wessex Drive,Brian,Leach,48,Husband,Married,Male,Learning mentor,None,None
106,Wessex Drive,Tina,Leach,1,Daughter,NA,Female,Child,None,NA
106,Wessex Drive,Frances,Archer,52,Visitor,Single,Female,Diplomatic Services operational officer,None,None
106,Wessex Drive,Wayne,Evans,45,Visitor,Single,Male,Health and safety inspector,None,None
107,Wessex Drive,Hayley,Brown,53,Head,Single,Female,Local government officer,None,Christian
107,Wessex Drive,Shannon,Carter,23,None,Single,Female,Chartered management accountant,None,Christian
107,Wessex Drive,Jacob,Fleming,49,None,Single,Male,Armed forces training and education officer,None,None
107,Wessex Drive,Lesley,Walton,18,None,Single,Female,Student,None,NA
108,Wessex Drive,Kathleen,Watson,44,Head,Single,Female,Trade union research officer,None,Methodist
108,Wessex Drive,Bruce,Harvey,51,Partner,Single,Male,Sports development officer,None,Methodist
108,Wessex Drive,Julian,Watson,10,Son,NA,Male,Student,None,NA
109,Wessex Drive,Maureen,Bird,77,Head,Married,Female,Retired Occupational hygienist,None,Christian
109,Wessex Drive,Eric,Bird,81,Husband,Married,Male,Retired Industrial/product designer,None,Christian
109,Wessex Drive,Bernard,Bird,36,Son,Single,Male,"Therapist, horticultural",None,None
109,Wessex Drive,Susan,Bird,33,Daughter,Divorced,Female,Industrial buyer,None,Christian
109,Wessex Drive,Howard,Bird,30,Son,Single,Male,Retail buyer,None,None
110,Wessex Drive,Karl,Bell,45,Head,Married,Male,Product/process development scientist,None,Christian
110,Wessex Drive,Janice,Bell,43,Wife,Married,Female,Civil Service fast streamer,None,Christian
110,Wessex Drive,Rosemary,Bell,14,Daughter,NA,Female,Student,None,NA
110,Wessex Drive,Brandon,Bell,10,Son,NA,Male,Student,None,NA
110,Wessex Drive,Katherine,Bell,6,Daughter,NA,Female,Student,None,NA
110,Wessex Drive,Allan,Bell,6,Son,NA,Male,Student,Physical Disability,NA
111,Wessex Drive,Vanessa,Pugh,34,Head,Married,Female,Editorial assistant,None,None
111,Wessex Drive,Toby,Pugh,36,Husband,Married,Male,"Accountant, chartered management",None,None
111,Wessex Drive,Josephine,Pugh,2,Daughter,NA,Female,Child,None,NA
111,Wessex Drive,Hazel,Hayes,20,Lodger,Divorced,Female,Public house manager,None,None
112,Wessex Drive,Ruth,Chandler,50,Head,Divorced,Female,"Buyer, industrial",None,Catholic
112,Wessex Drive,Kathryn,Chandler,20,Daughter,Single,Female,University Student,None,Catholic
112,Wessex Drive,Kate,Chandler,19,Daughter,Single,Female,TEFL teacher,None,Catholic
112,Wessex Drive,Terence,Chandler,15,Son,NA,Male,Student,None,NA
113,Wessex Drive,Susan,Lee,40,Head,Single,Female,IT consultant,None,Catholic
113,Wessex Drive,Ben,Mills,26,None,Single,Male,Contracting civil engineer,None,Muslim
114,Wessex Drive,Catherine,Thompson,45,Head,Married,Female,"Sales professional, IT",None,Christian
114,Wessex Drive,Stewart,Thompson,45,Husband,Married,Male,"Psychologist, clinical",None,None
114,Wessex Drive,Ashley,Thompson,19,Son,Divorced,Male,University Student,None,Christian
114,Wessex Drive,Benjamin,Thompson,15,Son,NA,Male,Student,None,NA
115,Wessex Drive,Pamela,Williams,58,Head,Single,Female,Neurosurgeon,None,Christian
115,Wessex Drive,Bernard,Williams,26,Son,Single,Male,Commercial/residential surveyor,None,Christian
115,Wessex Drive,Luke,Williams,23,Son,Single,Male,"Engineer, control and instrumentation",None,Christian
115,Wessex Drive,Gavin,Williams,21,Son,Single,Male,University Student,None,None
116,Wessex Drive,Terence,Begum,22,Head,Single,Male,University Student,None,Catholic
116,Wessex Drive,Antony,Harris,34,Lodger,Divorced,Male,Public house manager,None,None
116,Wessex Drive,Holly,Lloyd,50,Lodger,Single,Female,Diagnostic radiographer,None,None
117,Wessex Drive,Liam,Harding,65,Head,Married,Male,"Teacher, adult education",None,Christian
117,Wessex Drive,Karen,Harding,62,Wife,Married,Female,Agricultural engineer,None,Christian
118,Wessex Drive,Damian,Harvey,60,Head,Single,Male,Automotive engineer,None,None
119,Wessex Drive,Hayley,Clements,58,Head,Married,Female,Microbiologist,None,Christian
119,Wessex Drive,Ross,Clements,57,Husband,Married,Male,Aeronautical engineer,None,Christian
119,Wessex Drive,Hannah,Clements,25,Daughter,Single,Female,Market researcher,None,Christian
119,Wessex Drive,Brandon,Clements,23,Son,Single,Male,Unemployed,None,Christian
120,Wessex Drive,Tracey,Gilbert,89,Head,Married,Female,Retired Location manager,None,Christian
120,Wessex Drive,Stuart,Gilbert,93,Husband,Married,Male,Retired Insurance risk surveyor,None,None
120,Wessex Drive,Amelia,Gilbert,67,Daughter,Married,Female,Ophthalmologist,None,Christian
120,Wessex Drive,Justin,Gilbert,71,Son-in-law,Married,Male,"Teacher, English as a foreign language",None,None
121,Wessex Drive,Annette,Martin,57,Head,Divorced,Female,"Administrator, local government",None,Catholic
121,Wessex Drive,Ellie,Martin,35,Daughter,Divorced,Female,Unemployed,None,Catholic
121,Wessex Drive,Dale,Martin,35,Son,Single,Male,Customer service manager,None,Catholic
121,Wessex Drive,Paula,Martin,23,Daughter,Single,Female,English as a foreign language teacher,None,Catholic
122,Wessex Drive,Maria,Kelly,63,Head,Single,Female,Newspaper journalist,None,Christian
123,Wessex Drive,Patrick,Barry,71,Head,Widowed,Male,"Retired Civil engineer, contracting",None,Christian
124,Wessex Drive,Yvonne,Brown,45,Head,Married,Female,Water quality scientist,None,Christian
124,Wessex Drive,Cameron,Brown,50,Husband,Married,Male,Unemployed,None,Christian
124,Wessex Drive,Rosie,Brown,4,Daughter,NA,Female,Child,None,NA
124,Wessex Drive,Russell,Brown,4,Son,NA,Male,Child,Deaf,NA
124,Wessex Drive,Terence,Chapman-Brown,1,Son,NA,Male,Child,None,NA
124,Wessex Drive,Hayley,Wood,25,Lodger,Divorced,Female,Cytogeneticist,None,Methodist
125,Wessex Drive,Rachel,Evans,56,Head,Married,Female,Arboriculturist,None,Methodist
125,Wessex Drive,Annette,Evans,57,Wife,Married,Female,Retail banker,None,Methodist
125,Wessex Drive,Rebecca,Evans,14,Daughter,NA,Female,Student,None,NA
125,Wessex Drive,Leonard,Evans,13,Son,NA,Male,Student,None,NA
126,Wessex Drive,Rachael,Jones,48,Head,Single,Female,Legal secretary,None,None
126,Wessex Drive,Gareth,Metcalfe,46,Partner,Single,Male,Haematologist,None,None
126,Wessex Drive,June,Jones,8,Daughter,NA,Female,Student,None,NA
126,Wessex Drive,James,Jones,8,Son,NA,Male,Student,None,NA
126,Wessex Drive,Josh,Jones,4,Son,NA,Male,Child,None,NA
127,Wessex Drive,Karl,Atkinson,20,Head,Single,Male,University Student,None,Methodist
127,Wessex Drive,Lynn,Morris,21,None,Single,Female,University Student,None,None
127,Wessex Drive,Valerie,Evans,20,None,Single,Female,University Student,None,None
127,Wessex Drive,Neil,Greenwood,19,None,Single,Male,University Student,None,Muslim
127,Wessex Drive,Jeffrey,Thomas,18,None,Single,Male,University Student,None,None
127,Wessex Drive,Lesley,Brooks,22,None,Single,Female,University Student,None,Christian
128,Wessex Drive,Diana,Wheeler,75,Head,Single,Female,Retired Health physicist,None,Christian
129,Wessex Drive,Joanne,Hussain,33,Head,Divorced,Female,International aid/development worker,None,None
129,Wessex Drive,Owen,Hussain,3,Son,NA,Male,Child,None,NA
129,Wessex Drive,Marcus,Morrison,58,Lodger,Single,Male,Physiotherapist,None,Christian
129,Wessex Drive,Hazel,Holmes,33,Lodger,Single,Female,"Producer, television/film/video",None,None
129,Wessex Drive,Gregory,Phillips,56,Lodger,Single,Male,Academic librarian,None,None
130,Wessex Drive,Brenda,Jackson,58,Head,Single,Female,"Development worker, international aid",None,None
130,Wessex Drive,Carl,Hughes,43,None,Single,Male,Public relations officer,None,None
130,Wessex Drive,Samantha,Wood,33,None,Single,Female,"Engineer, maintenance",None,None
131,Wessex Drive,Allan,Matthews,42,Head,Married,Male,Trade union research officer,None,None
131,Wessex Drive,Kate,Matthews,43,Wife,Married,Female,Company secretary,None,None
131,Wessex Drive,Garry,Matthews,8,Son,NA,Male,Student,None,NA
131,Wessex Drive,Julia,Matthews,6,Daughter,NA,Female,Student,None,NA
132,Wessex Drive,Diane,Ward,42,Head,Single,Female,"Psychologist, occupational",None,None
133,Wessex Drive,Eileen,Kay,73,Head,Divorced,Female,Unemployed,None,Christian
133,Wessex Drive,Yvonne,Kay,47,Daughter,Divorced,Female,Research scientist (medical),None,None
133,Wessex Drive,Joshua,Kay,43,Son,Single,Male,Oncologist,None,Christian
133,Wessex Drive,Lauren,Kay,42,Daughter,Divorced,Female,Brewing technologist,None,Christian
134,Wessex Drive,Megan,Savage,68,Head,Married,Female,Retired Contractor,None,Christian
134,Wessex Drive,Garry,Savage,65,Husband,Married,Male,"Therapist, sports",None,None
134,Wessex Drive,Hollie,Savage,41,Daughter,Single,Female,"Programme researcher, broadcasting/film/video",None,Christian
134,Wessex Drive,Abdul,Savage,37,Son,Divorced,Male,Medical illustrator,None,Christian
135,Wessex Drive,Bernard,Gibbs,47,Head,Married,Male,Brewing technologist,None,None
135,Wessex Drive,Sandra,Gibbs,44,Wife,Married,Female,Financial planner,None,None
135,Wessex Drive,Iain,Gibbs,14,Son,NA,Male,Student,None,NA
135,Wessex Drive,Paula,Gibbs,10,Daughter,NA,Female,Student,None,NA
136,Wessex Drive,Marilyn,Green,66,Head,Widowed,Female,Unemployed,None,Jewish
136,Wessex Drive,Danielle,Green,40,Daughter,Single,Female,Unemployed,None,None
136,Wessex Drive,Harry,Green,39,Son,Divorced,Male,Training and development officer,None,Jewish
136,Wessex Drive,Anne,Green,36,Daughter,Single,Female,"Engineer, energy",None,Jewish
137,Wessex Drive,Irene,Oliver,47,Head,Married,Female,"Therapist, drama",None,None
137,Wessex Drive,Mark,Oliver,49,Husband,Married,Male,Unemployed,None,None
137,Wessex Drive,Wayne,Oliver,25,Son,Single,Male,Communications engineer,None,None
137,Wessex Drive,Phillip,Oliver,9,Son,NA,Male,Student,None,NA
138,Wessex Drive,Kimberley,Robinson,43,Head,Single,Female,Unemployed,None,Catholic
138,Wessex Drive,Katie,Burton,3,Daughter,NA,Female,Child,None,NA
138,Wessex Drive,Nicole,Burton,1,Daughter,NA,Female,Child,None,NA
138,Wessex Drive,Holly,Turner,58,Lodger,Single,Female,Corporate investment banker,None,Catholic
139,Wessex Drive,Carol,Archer,27,Head,Divorced,Female,Unemployed,None,None
139,Wessex Drive,Amelia,Archer,0,Daughter,NA,Female,Child,None,NA
139,Wessex Drive,Jasmine,Davies,29,Lodger,Widowed,Female,"Nurse, children's",None,Sikh
139,Wessex Drive,Katherine,Bruce,19,Lodger,Widowed,Female,University Student,None,Catholic
140,Wessex Drive,Tracy,Booth,68,Head,Married,Female,Retired Barista,None,None
140,Wessex Drive,Samuel,Booth,69,Husband,Married,Male,Retired Press sub,None,None
141,Wessex Drive,Charles,Morris,78,Head,Widowed,Male,Retired Media planner,None,Methodist
141,Wessex Drive,Leah,Morris,13,Granddaughter,NA,Female,Student,None,NA
142,Wessex Drive,Emma,Armstrong,36,Head,Married,Female,"Investment banker, operational",None,None
142,Wessex Drive,Cameron,Armstrong,36,Husband,Married,Male,"Designer, ceramics/pottery",None,None
142,Wessex Drive,Tony,Armstrong,3,Adopted Son,NA,Male,Child,None,NA
142,Wessex Drive,Mohamed,Akhtar,33,Lodger,Single,Male,Archaeologist,None,None
143,Wessex Drive,Sally,Jones,29,Head,Single,Female,Unemployed,None,None
143,Wessex Drive,Craig,Jackson,31,Partner,Single,Male,Forensic scientist,None,None
143,Wessex Drive,Margaret,Jones,5,Daughter,NA,Female,Student,None,NA
144,Wessex Drive,Teresa,Goodwin,34,Head,Divorced,Female,Computer games developer,None,Muslim
144,Wessex Drive,Ben,Goodwin,17,Son,NA,Male,Student,None,NA
144,Wessex Drive,Frances,Goodwin,15,Daughter,NA,Female,Student,None,NA
145,Wessex Drive,Kayleigh,Riley,52,Head,Married,Female,"Teacher, secondary school",None,None
145,Wessex Drive,Michael,Riley,57,Husband,Married,Male,Health and safety inspector,None,None
145,Wessex Drive,Dean,Riley,14,Son,NA,Male,Student,None,NA
145,Wessex Drive,Richard,Riley,11,Son,NA,Male,Student,None,NA
146,Wessex Drive,Ann,Myers-Wood,33,Head,Divorced,Female,"Social research officer, government",None,Methodist
146,Wessex Drive,Rachel,Myers-Wood,13,Daughter,NA,Female,Student,None,NA
146,Wessex Drive,George,Myers-Wood,12,Son,NA,Male,Student,None,NA
147,Wessex Drive,Alice,Pearson,29,Head,Divorced,Female,Water quality scientist,None,None
147,Wessex Drive,Albert,Pearson,4,Son,NA,Male,Child,None,NA
147,Wessex Drive,Gordon,Newman,33,Lodger,Single,Male,Animal technologist,None,None
147,Wessex Drive,Keith,Taylor,34,Cousin,Single,Male,"Pharmacist, hospital",None,None
148,Wessex Drive,Sarah,Adams,53,Head,Single,Female,"Surveyor, minerals",None,None
148,Wessex Drive,Jacob,Kelly,57,Partner,Single,Male,Magazine journalist,None,None
148,Wessex Drive,Mark,Adams,28,Son,Single,Male,Medical physicist,None,None
148,Wessex Drive,Sophie,Adams,24,Daughter,Single,Female,Pharmacologist,None,None
148,Wessex Drive,Patricia,Adams,17,Daughter,NA,Female,Student,None,NA
148,Wessex Drive,Frederick,Adams,15,Son,NA,Male,Student,None,NA
149,Wessex Drive,Rachael,Chapman,45,Head,Married,Female,Emergency planning/management officer,None,Catholic
149,Wessex Drive,Ronald,Chapman,45,Husband,Married,Male,Operational investment banker,None,None
149,Wessex Drive,Max,Chapman,14,Son,NA,Male,Student,None,NA
149,Wessex Drive,Arthur,Chapman,11,Son,NA,Male,Student,None,NA
150,Wessex Drive,Matthew,Dobson,36,Head,Single,Male,IT trainer,None,Catholic
150,Wessex Drive,Sian,Wong,31,Partner,Single,Female,Race relations officer,None,None
150,Wessex Drive,Garry,Dobson,0,Son,NA,Male,Child,None,NA
150,Wessex Drive,Alexandra,Dobson,0,Daughter,NA,Female,Child,None,NA
151,Wessex Drive,Gemma,Williams,64,Head,Divorced,Female,Unemployed,None,Christian
151,Wessex Drive,Susan,Williams,36,Daughter,Single,Female,Illustrator,None,Christian
151,Wessex Drive,Glenn,Williams,34,Son,Single,Male,Adult guidance worker,None,Christian
151,Wessex Drive,Fiona,Williams,33,Daughter,Single,Female,"Surveyor, land/geomatics",None,Christian
152,Wessex Drive,Dean,Young,35,Head,Single,Male,Trade union research officer,None,Christian
152,Wessex Drive,Emily,Webb,30,Partner,Single,Female,Unemployed,None,None
153,Wessex Drive,Jasmine,Jones,36,Head,Single,Female,Operational investment banker,None,Catholic
153,Wessex Drive,Howard,Jennings,37,Partner,Single,Male,"Research officer, government",None,Catholic
153,Wessex Drive,Kathleen,Jones,7,Daughter,NA,Female,Student,None,NA
153,Wessex Drive,Martin,Jones,5,Son,NA,Male,Student,None,NA
154,Wessex Drive,Sharon,Coleman,35,Head,Single,Female,Unemployed,None,Methodist
154,Wessex Drive,Maurice,Coleman,1,Son,NA,Male,Child,None,NA
154,Wessex Drive,Clive,Kelly,35,Lodger,Single,Male,"Teacher, English as a foreign language",None,Christian
154,Wessex Drive,Lorraine,Cooke,44,Lodger,Single,Female,"Designer, graphic",None,None
155,Wessex Drive,Bernard,Wright,57,Head,Single,Male,Site engineer,None,None
155,Wessex Drive,Lewis,Barnett,22,None,Single,Male,University Student,None,None
155,Wessex Drive,Dale,Fry,64,None,Single,Male,Careers information officer,None,Christian
155,Wessex Drive,Adrian,Kennedy,47,None,Single,Male,Futures trader,None,None
156,Wessex Drive,Vincent,Thompson,57,Head,Single,Male,Architect,None,Christian
156,Wessex Drive,Sophie,Kelly,55,Partner,Single,Female,Personal assistant,None,None
157,Wessex Drive,Lauren,Davies,37,Head,Widowed,Female,Unemployed,None,Catholic
157,Wessex Drive,Cameron,Davies,7,Son,NA,Male,Student,None,NA
157,Wessex Drive,Carole,Davies,6,Daughter,NA,Female,Student,None,NA
157,Wessex Drive,Jeffrey,Davies,2,Son,NA,Male,Child,None,NA
158,Wessex Drive,Edward,Saunders,36,Head,Single,Male,Quantity surveyor,None,None
158,Wessex Drive,Sean,Foster,61,None,Single,Male,Personnel officer,None,Christian
158,Wessex Drive,Terence,Wall,47,None,Single,Male,Customer service manager,None,Methodist
159,Wessex Drive,Gareth,O'Connor,40,Head,Divorced,Male,Fast food restaurant manager,None,Christian
159,Wessex Drive,Ronald,O'Connor,17,Son,NA,Male,Student,None,NA
160,Wessex Drive,Reece,Hewitt,68,Head,Married,Male,Retired Ceramics designer,None,None
160,Wessex Drive,Natalie,Hewitt,68,Wife,Married,Female,Retired Commissioning editor,None,None
161,Wessex Drive,Paula,Jones,68,Head,Married,Female,"Retired Production assistant, radio",None,Christian
161,Wessex Drive,Brett,Jones,70,Husband,Married,Male,Retired Publishing copy,None,Christian
161,Wessex Drive,Martin,Bryant-Jones,32,Son,Single,Male,Field trials officer,None,None
161,Wessex Drive,Ronald,Bryant-Jones,30,Son,Single,Male,Town planner,None,Christian
161,Wessex Drive,Cheryl,Jones-Bryant-Jones,29,Daughter,Single,Female,"Presenter, broadcasting",None,Christian
162,Wessex Drive,Sara,Harding,52,Head,Married,Female,"Teacher, special educational needs",None,None
162,Wessex Drive,Leon,Harding,55,Husband,Married,Male,"Surveyor, planning and development",None,None
162,Wessex Drive,Garry,Harding,27,Son,Single,Male,Product manager,None,None
162,Wessex Drive,Sam,Harding,12,Son,NA,Male,Student,None,NA
163,Wessex Drive,Julie,O'Brien,40,Head,Married,Female,Environmental education officer,None,None
163,Wessex Drive,Wayne,O'Brien,37,Husband,Married,Male,Bookseller,None,None
163,Wessex Drive,Lesley,O'Brien,18,Daughter,Divorced,Female,Student,None,None
163,Wessex Drive,Stewart,O'Brien,14,Son,NA,Male,Student,None,NA
163,Wessex Drive,Kyle,Lee-O'Brien,14,Son,NA,Male,Student,None,NA
164,Wessex Drive,Iain,Smith,34,Head,Married,Male,"Sound technician, broadcasting/film/video",None,Methodist
164,Wessex Drive,Carol,Smith,32,Wife,Married,Female,Tree surgeon,None,None
164,Wessex Drive,Keith,Smith,11,Son,NA,Male,Student,None,NA
164,Wessex Drive,Kate,Smith,7,Daughter,NA,Female,Student,None,NA
164,Wessex Drive,Neil,Smith,6,Son,NA,Male,Student,None,NA
165,Wessex Drive,Julie,Wilkinson,43,Head,Married,Female,"Education officer, community",None,Methodist
165,Wessex Drive,Russell,Wilkinson,51,Husband,Married,Male,Actuary,None,Methodist
165,Wessex Drive,Marc,Wilkinson,20,Son,Single,Male,University Student,None,Methodist
165,Wessex Drive,Anthony,Wilkinson,17,Son,NA,Male,Student,None,NA
166,Wessex Drive,Denise,Robinson,45,Head,Single,Female,Unemployed,None,Catholic
166,Wessex Drive,Henry,Robinson,17,Son,NA,Male,Student,None,NA
166,Wessex Drive,Jayne,Robinson,14,Daughter,NA,Female,Student,None,NA
166,Wessex Drive,Leah,Robinson,13,Daughter,NA,Female,Student,None,NA
166,Wessex Drive,Sian,Robinson,9,Daughter,NA,Female,Student,None,NA
167,Wessex Drive,Gail,Pearson,20,Head,Single,Female,Commercial horticulturist,None,None
167,Wessex Drive,Jennifer,James,44,Lodger,Divorced,Female,IT trainer,None,Catholic
167,Wessex Drive,Derek,Perry,30,Sibling,Single,Male,Seismic interpreter,None,Catholic
167,Wessex Drive,Joe,Evans,23,Lodger,Single,Male,Catering manager,None,Methodist
168,Wessex Drive,Sara,Howe,36,Head,Single,Female,Geographical information systems officer,None,Catholic
168,Wessex Drive,George,Baker,58,None,Single,Male,Theatre director,None,None
168,Wessex Drive,Roger,Rose,53,None,Single,Male,Careers information officer,None,Methodist
168,Wessex Drive,Raymond,Smith,59,None,Single,Male,Building services engineer,None,Methodist
169,Wessex Drive,Emily,Walker,67,Head,Widowed,Female,English as a foreign language teacher,None,Catholic
169,Wessex Drive,Laura,Walker,37,Daughter,Single,Female,"Scientist, research (physical sciences)",None,None
169,Wessex Drive,Reece,Walker,30,Son,Single,Male,Oceanographer,None,None
169,Wessex Drive,Charlene,Walker,24,Daughter,Single,Female,"Geologist, wellsite",None,None
169,Wessex Drive,Dale,Walker,20,Son,Single,Male,University Student,None,None
169,Wessex Drive,Richard,Walker,18,Son,Single,Male,Student,None,Catholic
169,Wessex Drive,Lucy,Walker,17,Daughter,NA,Female,Student,None,NA
170,Wessex Drive,Hollie,Jenkins,53,Head,Divorced,Female,Unemployed,None,Christian
170,Wessex Drive,Lynda,Jenkins,14,Daughter,NA,Female,Student,None,NA
170,Wessex Drive,Leon,Jenkins,10,Son,NA,Male,Student,None,NA
170,Wessex Drive,Anthony,Jenkins,8,Son,NA,Male,Student,None,NA
170,Wessex Drive,Eleanor,Jenkins,5,Daughter,NA,Female,Student,None,NA
170,Wessex Drive,Cheryl,Jenkins,2,Daughter,NA,Female,Child,None,NA
171,Wessex Drive,Josephine,Davis,40,Head,Married,Female,Chief Strategy Officer,None,None
171,Wessex Drive,Steven,Davis,38,Husband,Married,Male,Accounting technician,None,None
171,Wessex Drive,Charlotte,Lloyd,62,Sibling,Divorced,Female,Airline pilot,None,None
172,Wessex Drive,Jake,Jones,45,Head,Married,Male,Garment/textile technologist,None,Catholic
172,Wessex Drive,Gemma,Jones,44,Wife,Married,Female,Unemployed,None,Catholic
172,Wessex Drive,Jill,Dale,15,Daughter,NA,Female,Student,None,NA
172,Wessex Drive,Holly,Dale,13,Daughter,NA,Female,Student,None,NA
172,Wessex Drive,Francis,Dale,10,Son,NA,Male,Student,None,NA
172,Wessex Drive,Geoffrey,Dale,7,Son,NA,Male,Student,Physical Disability,NA
173,Wessex Drive,Katy,Ali,46,Head,Single,Female,"Engineer, maintenance (IT)",None,None
173,Wessex Drive,Dylan,Allen,51,Partner,Single,Male,Fitness centre manager,None,None
173,Wessex Drive,Sylvia,Ali,23,Daughter,Single,Female,"Librarian, academic",None,None
173,Wessex Drive,Jessica,Ali,5,Daughter,NA,Female,Student,None,NA
174,Wessex Drive,Alice,Shaw,49,Head,Married,Female,Landscape architect,None,None
174,Wessex Drive,Derek,Shaw,53,Husband,Married,Male,"Production assistant, radio",None,None
174,Wessex Drive,Beverley,Shaw,25,Daughter,Divorced,Female,Unemployed,None,None
174,Wessex Drive,Georgina,Shaw,10,Daughter,NA,Female,Student,None,NA
175,Wessex Drive,Georgia,Singh,28,Head,Single,Female,"Engineer, structural",None,None
175,Wessex Drive,Maurice,Dixon,29,Partner,Single,Male,Furniture designer,None,None
175,Wessex Drive,Timothy,Singh,0,Son,NA,Male,Child,None,NA
175,Wessex Drive,Anna,Peters,53,Lodger,Single,Female,"Secretary, company",None,Christian
176,Wessex Drive,Hollie,Townsend,62,Head,Single,Female,"Education officer, environmental",None,Catholic
176,Wessex Drive,Abigail,Marshall,20,Granddaughter,Single,Female,University Student,None,Catholic
176,Wessex Drive,Lawrence,Marshall,15,Grandson,NA,Male,Student,None,NA
177,Wessex Drive,Jessica,Thorpe,18,Head,Single,Female,University Student,None,NA
177,Wessex Drive,Jeremy,Bird,19,None,Single,Male,University Student,None,Sikh
177,Wessex Drive,Marion,Cooper,22,None,Single,Female,University Student,None,Jewish
177,Wessex Drive,Sian,Jones,21,None,Single,Female,University Student,None,Christian
178,Wessex Drive,Abdul,Williams,43,Head,Single,Male,"Conservation officer, nature",None,Catholic
179,Wessex Drive,Marian,Jordan,25,Head,Married,Female,Company secretary,None,None
179,Wessex Drive,Keith,Jordan,27,Husband,Married,Male,Unemployed,None,None
179,Wessex Drive,Christopher,Jordan,7,Son,NA,Male,Student,None,NA
179,Wessex Drive,Oliver,Jordan,6,Adopted Son,NA,Male,Student,None,NA
180,Wessex Drive,Michael,Lord,26,Head,Married,Male,"Engineer, building services",None,Christian
180,Wessex Drive,Melanie,Lord,23,Wife,Married,Female,Administrator,None,Christian
180,Wessex Drive,Jemma,Chadwick,50,Lodger,Divorced,Female,"Optician, dispensing",None,None
180,Wessex Drive,Jason,Jones,21,Lodger,Single,Male,University Student,None,Muslim
181,Wessex Drive,Michelle,Gardner,62,Head,Divorced,Female,Professor Emeritus,None,None
181,Wessex Drive,Katherine,Johnson,13,Granddaughter,NA,Female,Student,Blind,NA
182,Wessex Drive,Susan,Mills,50,Head,Single,Female,International aid/development worker, ,Christian
182,Wessex Drive,David,Brown,51,Partner,Single,Male,"Engineer, maintenance (IT)",None,Christian
182,Wessex Drive,Barbara,Mills,15,Daughter,NA,Female,Student,None,NA
183,Wessex Drive,Philip,Lawson,21,Head,Single,Male,University Student,None,Catholic
183,Wessex Drive,Jill,Faulkner,20,None,Single,Female,University Student,None,Christian
183,Wessex Drive,Eileen,Shepherd,29,None,Single,Female,PhD Student,None,None
183,Wessex Drive,Janet,Hughes,22,None,Single,Female,University Student,None,Christian
184,Wessex Drive,Jenna,Hewitt,29,Head,Single,Female,Estate manager/land agent,None,Methodist
184,Wessex Drive,Kyle,Hewitt,2,Son,NA,Male,Child,None,NA
184,Wessex Drive,Cheryl,Hewitt,1,Daughter,NA,Female,Child,None,NA
184,Wessex Drive,Mohammed,Day,62,Lodger,Single,Male,Research scientist (life sciences),None,Jewish
184,Wessex Drive,Terry,Mitchell,50,Lodger,Divorced,Male,Radio broadcast assistant,None,None
185,Wessex Drive,Kirsty,Smith,50.03241969022402,Head,Married,Female,Bookseller,None,Christian
185,Wessex Drive,Gregory,Smith,51.03241969022402,Husband,Married,Male,Systems developer,None,Christian
185,Wessex Drive,Hugh,Smith,1.0,Son,NA,Male,Child,None,NA
185,Wessex Drive,Martin,Marsh,60,Lodger,Divorced,Male,International aid/development worker,None,None
185,Wessex Drive,Gerard,Watts,32,Lodger,Single,Male,Music therapist,None,None
185,Wessex Drive,Sarah,Long,42,Sibling,Single,Female,Animator,None,Christian
186,Wessex Drive,Olivia,Reed,23,Head,Single,Female,Unemployed,None,Muslim
186,Wessex Drive,Kelly,Jones,24,Lodger,Single,Female,Health service manager,None,Sikh
186,Wessex Drive,Sylvia,Brooks,25,Lodger,Single,Female,"Engineer, manufacturing",None,None
186,Wessex Drive,Carly,Howe,54,Lodger,Single,Female,"Administrator, education",None,Christian
186,Wessex Drive,Alice,Naylor,38,Lodger,Single,Female,Insurance account manager,None,Catholic
187,Wessex Drive,Harriet,Thomson,43,Head,Married,Female,Commercial art gallery manager,None,Catholic
187,Wessex Drive,Ross,Thomson,42,Husband,Married,Male,Insurance risk surveyor,None,Catholic
187,Wessex Drive,Jamie,Thomson,14,Son,NA,Male,Student,None,NA
187,Wessex Drive,Harry,Thomson,10,Son,NA,Male,Student,None,NA
187,Wessex Drive,Nathan,Thomson,9,Son,NA,Male,Student,None,NA
187,Wessex Drive,Louise,Thomson,6,Daughter,NA,Female,Student,None,NA
188,Wessex Drive,Sara,Gardner,24,Head,Married,Female,Barista,None,Catholic
188,Wessex Drive,Jonathan,Gardner,29,Husband,Married,Male,Control and instrumentation engineer,None,Catholic
188,Wessex Drive,Rebecca,Gardner,6,Daughter,NA,Female,Student,None,NA
188,Wessex Drive,Martin,Gardner,5,Son,NA,Male,Student,None,NA
189,Wessex Drive,Leonard,Adams,68,Head,Widowed,Male,Retired Furniture conservator/restorer,None,Christian
189,Wessex Drive,Lynne,Adams,38,Daughter,Single,Female,Archivist,None,Christian
189,Wessex Drive,Beverley,Adams,36,Daughter,Single,Female,Commissioning editor,None,None
189,Wessex Drive,Gordon,Adams,33,Son,Divorced,Male,Unemployed,None,None
